,title,summary,sentiment,score
0,Chandrayaan-3 has started its journey towards moon: Isro chief,"Isro on Friday successfully launched the LVM3 in its fourth operational mission and put the Chandrayaan-3 spacecraft into the intended orbit. If all goes as per plan, the Chandrayaan-3 lander, Vikram, should touch down on the lunar surface at around 5.47pm on August 23, after 40 days of journey covering more than 3.8-lakh-km.",Positive,0.5719
1,Eighth Cheetah found dead in Kuno National Park,"Tejas, also a male South African cheetah, had previously succumbed to 'traumatic shock' at the tender age of five and a half years, weighing only 43 kg, well below the average weight range of 55-60 kg for cheetahs of similar age.
Furthermore, Tejas's internal organs were found to be in a severely compromised state.Authorities point out that Tejas's weight was considerably lower than that of an average male cheetah.
Superficial external wounds were observed on the back of its neck, confined to the skin and lacking depth.
No puncture wounds were discovered during the examination.The repeated occurrences of cheetah deaths in the Kuno National Park raise concerns about the well-being and conservation efforts for these majestic creatures.
Project Tiger's goal to reintroduce cheetahs into the Indian wilderness now faces intensified scrutiny and urgent reassessment to ensure the safety and survival of these endangered species.",Negative,-0.6486
2,All the records broken by Jaiswal on Test debut,"As young batting sensation Yashasvi Jaiswal powered to his maiden international century against West Indies on the second day of the first Test in Dominica, the stylish left-hander achieved historic feats. Demonstrating remarkable grit and determination, Jaiswal finished the day on an unbeaten 143 to put India in control. The Jaiswal ton put him in a rare list of Indian openers, who scored a hundred on in their debut Test matches.",Positive,0.8885
3,"Alliance with Ajit Pawar political, with Shinde emotional: BJP","The BJP’s alliance with Eknath Shinde’s Shiv Sena is an emotional one while its alliance with the Ajit Pawar-led NCP which joined the state government a few days ago is political, deputy CM Devendra Fadnavis said on Thursday. He described the BJP’s actions in Maharashtra as ‘not adharma (unethical) but kut-niti (realpolitik).’",Negative,-0.2144
4,Arrived in style! Wishes pour in as Jaiswal shines on debut,"From selling pani puri and living in a tent on Mumbai maidans to a fairytale debut outing in West Indies, Yashasvi Jaiswal was a buzz on social media Thursday evening as the young batting sensation became just the third Indian opener to slam a ton on Test debut. Playing his first international game, that too on foreign soil, Jaiswal fired a commanding century to put India in pole position in the first Test in Dominica.",Negative,-0.6597
5,"Nepal tomatoes seized in UP, go missing, caught again",This latest entrant in the cross-border infiltration saga is making authorities see red.,Neutral,0.0
6,"After court win to make baby powder, J&J gives up licence","Three years since ceasing production of its talc-based powders in the US and Canada, pharmaceutical giant Johnson and Johnson recently surrendered its licence to manufacture baby powder in its Mumbai plant. The company said the decision to stop manufacturing baby powder in India was part of a global move to switch from talc-based to cornstarch-based baby powders.",Negative,-0.296
7,Health risks associated with overflowing of Yamuna in Delhi,"The flood crisis in Delhi poses a threat to public health, including the risk of waterborne diseases from the contaminated Yamuna river water, vector-borne diseases from mosquito breeding and mental health issues due to displacement and disruption. Other potential health risks are respiratory issues and food contamination. Learn more on how to protect yourselves from these health risks.",Negative,-0.9136
8,"Watch — ITR e-filing: Imp rebates, exempt incomes to claim for lower tax",ITR filing on Income Tax portal: Take note of the tax exemptions and deductions listed out in this week's TOI Wallet Talks episode so that you don't miss out on claiming them when filing your income tax return for FY 2022-23.,Positive,0.1139
9,'Settlement in cruelty to wife cases not in women's interest',"The Centre said making the offence of 'cruelty to wife' by husband or in-laws under Section 498A of the IPC compoundable - that is, amenable to an out-of-court settlement or a compromise, with or without nod of the court - ""will not be in the interest of women.""",Negative,-0.4767
10,Chandrayaan 3: Akshay Kumaran and others cheer for ISRO scientists,"ISRO is all set to launch Chandrayaan-3, the next mission after Chandrayaan-2, today. This will be India’s second endeavour to achieve a soft landing on the Moon. Bollywood celebrities took to Twitter to cheer for the ISRO scientists.",Positive,0.5106
11,"Gurgaon: Car on wrong side rams scooter, class II girl dies","A Class II student died after a car on the wrong side of a road hit a scooter that her father was driving to drop her to school on Thursday morning in Sector 22. After the collision, the car driver allegedly tried to flee, crushing the girl’s head and running over her father’s arm.",Negative,-0.9153
12,It's not just Hathnikund Barrage: 10 reasons why Delhi is flooded,"Floodplain encroachment, vanishing wetlands and the 25 bridges on the path of the Yamuna in Delhi have aggravated the flooding of the river, experts have concurred. Rain is not the only culprit. In the last four days, Delhi has seen little or no rain but the river has risen and risen. A lot has been said about the release of water from the Hathnikund Barrage in Haryana. However, the numbers don't add up well for this argument, either.",Negative,-0.7834
13,"Justices Ujjal Bhuyan, SV Bhatti take oath as SC judges","With the swearing-in of Justices Bhuyan and Bhatti, the working strength of judges in the apex court has risen to 32 against the sanctioned strength of 34, including the CJI. The central government had cleared the names of Justice Bhuyan, who was the chief justice of the Telangana high court, and Justice Bhatti, his counterpart in Kerala, for elevation to the top court on July 12.",Positive,0.9571
14,Citroen C3 scores 0 stars in Latin NCAP crash test,"While Global NCAP is yet to crash test the India-spec C3, the tallboy hatchback has been tested by Latin NCAP, with the C3 scoring 0 stars in the crash test.",Negative,-0.6597
15,‘Robbers’ kill Andhra farmer who made ‘millions’ selling tomatoes,"The 62-year-old farmer, identified as Narem Rajasekhar Reddy, was found dead on the outskirts of his village on Wednesday.",Negative,-0.6486
16,Aditya Roy Kapur and Ananya Panday’s age gap isn't anyone’s business!,"Ananya Panday and Aditya Roy Kapur are rumoured to be in a relationship since a while now. The couple has refused to comment on their romance and were recently spotted in Portugal, seemingly enjoying a vacation. Soon after their pictures went viral, Ananya and Aditya were age shamed on social media.",Positive,0.296
17,LeT recruiter Pasha mastermind behind extortion calls to Gadkari,"Lashkar-e-Taiba (LeT) operative Afsar Pasha, instrumental in recruiting and conducting sleeper cell in the Belagavi jail, planned the two extortion calls made to Union minister Nitin Gadkari while co-accused Jayesh Kantha alias Jayesh Pujari executed it, cops said.",Neutral,0.0
18,"India's UPI to be used in France, starting at Eiffel: PM Modi","Calling for restructuring of the UN Security Council to reflect global realities, PM Narendra Modi has batted for India’s inclusion as a permanent member of the body, saying the “issue is not just about credibility, but something much larger”, and wondering how the world’s largest democracy and most populous country can be denied its rightful place.",Negative,-0.4854
19,Para javelin thrower Sumit wins gold at Worlds,Indian Paralympic gold medallist Sumit Antil etched his name in the record books once again by setting a new world record in the F64 javelin throw event at the World Para-Athletics Championship in Paris.,Positive,0.4404
20,Ajit gets finance dept despite opposition from Sena leaders,"The ministries of finance, planning, cooperation and agriculture, among others, will be given to the Ajit Pawar group of NCP in the state government in the portfolio allocation which will likely be declared soon, senior NCP sources involved in negotiations with BJP and Shiv Sena said. Ajit will keep the finance portfolio for himself, sources said.",Neutral,0.0
